id,title,full_question,difficulty,topic,companies
518,Binary Tree Level Order Traversal,"Given the root of a binary tree, return the level order traversal of its nodes' values (i.e., from left to right, level by level).",Easy,Trees,"PayPal, Wipro, Microsoft"
519,Reverse Linked List,"Given the head of a singly linked list, reverse the list and return the reversed list. You must reverse the nodes themselves and not just the values.",Medium,Linked List,"Microsoft, Adobe"
520,Kth Largest Element in an Array,"Given an integer array nums and an integer k, return the kth largest element in the array. Note that it is the kth largest element in sorted order, not the kth distinct element.",Easy,Heap & Priority Queue,"Microsoft, Apple"
521,Search in Rotated Sorted Array,"There is an integer array nums sorted in ascending order (with distinct values), but possibly rotated at an unknown pivot index. Given the array nums and an integer target, return the index of target if it is in nums, or -1 otherwise.",Easy,Binary Search,"Infosys, Google, Apple"
522,Valid Parentheses,"Given a string s containing just the characters '(', ')', '{', '}', '[' and ']', determine if the input string is valid. An input string is valid if open brackets are closed by the same type of brackets and in the correct order.",Medium,Stack & Queue,Wipro
523,Trapping Rain Water,"Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining.",Medium,Arrays,"Meta, Amazon, Google"
524,Coin Change,"You are given an integer array coins representing coins of different denominations and an integer amount. Return the fewest number of coins needed to make up that amount. If that amount cannot be made up, return -1.",Easy,Dynamic Programming,"Adobe, Amazon, Flipkart"
525,Trapping Rain Water,"Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining.",Easy,Arrays,"Microsoft, Oracle"
526,Binary Tree Level Order Traversal,"Given the root of a binary tree, return the level order traversal of its nodes' values (i.e., from left to right, level by level).",Hard,Trees,"TCS, Infosys, Microsoft"
527,Reverse Linked List,"Given the head of a singly linked list, reverse the list and return the reversed list. You must reverse the nodes themselves and not just the values.",Medium,Linked List,"Wipro, Google"
528,Coin Change,"You are given an integer array coins representing coins of different denominations and an integer amount. Return the fewest number of coins needed to make up that amount. If that amount cannot be made up, return -1.",Medium,Dynamic Programming,"TCS, Amazon"
529,Kth Largest Element in an Array,"Given an integer array nums and an integer k, return the kth largest element in the array. Note that it is the kth largest element in sorted order, not the kth distinct element.",Medium,Heap & Priority Queue,"Apple, Oracle"
530,Trapping Rain Water,"Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining.",Hard,Arrays,TCS
531,LRU Cache,Design a data structure that follows the constraints of a Least Recently Used (LRU) cache. Implement the LRUCache class with get and put operations in O(1) average time complexity.,Easy,HashMap,"Apple, Amazon"
532,Binary Tree Level Order Traversal,"Given the root of a binary tree, return the level order traversal of its nodes' values (i.e., from left to right, level by level).",Hard,Trees,"Google, Goldman Sachs, PayPal"
533,Longest Substring Without Repeating Characters,"Given a string s, find the length of the longest substring without repeating characters. A substring is a contiguous sequence of characters within a string.",Hard,Strings,"Flipkart, Oracle"
534,LRU Cache,Design a data structure that follows the constraints of a Least Recently Used (LRU) cache. Implement the LRUCache class with get and put operations in O(1) average time complexity.,Medium,HashMap,Infosys
535,Number of Islands,"Given an m x n 2D binary grid which represents a map of '1's (land) and '0's (water), return the number of islands. An island is surrounded by water and is formed by connecting adjacent lands horizontally or vertically.",Hard,Graphs,Meta
536,LRU Cache,Design a data structure that follows the constraints of a Least Recently Used (LRU) cache. Implement the LRUCache class with get and put operations in O(1) average time complexity.,Hard,HashMap,"Uber, PayPal, Flipkart"
537,Number of Islands,"Given an m x n 2D binary grid which represents a map of '1's (land) and '0's (water), return the number of islands. An island is surrounded by water and is formed by connecting adjacent lands horizontally or vertically.",Easy,Graphs,Apple
538,Search in Rotated Sorted Array,"There is an integer array nums sorted in ascending order (with distinct values), but possibly rotated at an unknown pivot index. Given the array nums and an integer target, return the index of target if it is in nums, or -1 otherwise.",Medium,Binary Search,"Infosys, Goldman Sachs"
539,Search in Rotated Sorted Array,"There is an integer array nums sorted in ascending order (with distinct values), but possibly rotated at an unknown pivot index. Given the array nums and an integer target, return the index of target if it is in nums, or -1 otherwise.",Hard,Binary Search,Uber
540,Reverse Linked List,"Given the head of a singly linked list, reverse the list and return the reversed list. You must reverse the nodes themselves and not just the values.",Medium,Linked List,"Infosys, Apple, Goldman Sachs"
541,Reverse Linked List,"Given the head of a singly linked list, reverse the list and return the reversed list. You must reverse the nodes themselves and not just the values.",Easy,Linked List,"Infosys, Adobe, Google"
542,Search in Rotated Sorted Array,"There is an integer array nums sorted in ascending order (with distinct values), but possibly rotated at an unknown pivot index. Given the array nums and an integer target, return the index of target if it is in nums, or -1 otherwise.",Easy,Binary Search,"Wipro, Microsoft"
543,Longest Substring Without Repeating Characters,"Given a string s, find the length of the longest substring without repeating characters. A substring is a contiguous sequence of characters within a string.",Easy,Strings,"Google, Flipkart"
544,Longest Substring Without Repeating Characters,"Given a string s, find the length of the longest substring without repeating characters. A substring is a contiguous sequence of characters within a string.",Hard,Strings,Flipkart
545,Two Sum,"Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target. You may assume that each input would have exactly one solution, and you may not use the same element twice. Return the answer in any order.",Medium,Arrays,"Uber, Google"
546,Coin Change,"You are given an integer array coins representing coins of different denominations and an integer amount. Return the fewest number of coins needed to make up that amount. If that amount cannot be made up, return -1.",Hard,Dynamic Programming,"Microsoft, TCS, Infosys"
547,Two Sum,"Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target. You may assume that each input would have exactly one solution, and you may not use the same element twice. Return the answer in any order.",Easy,Arrays,"Goldman Sachs, PayPal"
548,Longest Substring Without Repeating Characters,"Given a string s, find the length of the longest substring without repeating characters. A substring is a contiguous sequence of characters within a string.",Easy,Strings,"Amazon, Microsoft, Google"
549,Trapping Rain Water,"Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining.",Hard,Arrays,"Meta, Amazon, Microsoft"
550,N-Queens,"The n-queens puzzle is the problem of placing n queens on an n×n chessboard such that no two queens attack each other. Given an integer n, return all distinct solutions to the puzzle.",Easy,Backtracking,"Flipkart, Google, Goldman Sachs"
551,LRU Cache,Design a data structure that follows the constraints of a Least Recently Used (LRU) cache. Implement the LRUCache class with get and put operations in O(1) average time complexity.,Medium,HashMap,"Microsoft, Amazon"
552,Two Sum,"Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target. You may assume that each input would have exactly one solution, and you may not use the same element twice. Return the answer in any order.",Hard,Arrays,"Wipro, Goldman Sachs, Meta"
553,Longest Substring Without Repeating Characters,"Given a string s, find the length of the longest substring without repeating characters. A substring is a contiguous sequence of characters within a string.",Easy,Strings,"Infosys, Microsoft"
554,Kth Largest Element in an Array,"Given an integer array nums and an integer k, return the kth largest element in the array. Note that it is the kth largest element in sorted order, not the kth distinct element.",Hard,Heap & Priority Queue,Wipro
555,Coin Change,"You are given an integer array coins representing coins of different denominations and an integer amount. Return the fewest number of coins needed to make up that amount. If that amount cannot be made up, return -1.",Easy,Dynamic Programming,Apple
556,Binary Tree Level Order Traversal,"Given the root of a binary tree, return the level order traversal of its nodes' values (i.e., from left to right, level by level).",Easy,Trees,Google
557,Number of Islands,"Given an m x n 2D binary grid which represents a map of '1's (land) and '0's (water), return the number of islands. An island is surrounded by water and is formed by connecting adjacent lands horizontally or vertically.",Hard,Graphs,"Infosys, Apple"
558,Reverse Linked List,"Given the head of a singly linked list, reverse the list and return the reversed list. You must reverse the nodes themselves and not just the values.",Hard,Linked List,"Meta, Flipkart"
559,Reverse Linked List,"Given the head of a singly linked list, reverse the list and return the reversed list. You must reverse the nodes themselves and not just the values.",Easy,Linked List,"Flipkart, Wipro, Adobe"
560,Number of Islands,"Given an m x n 2D binary grid which represents a map of '1's (land) and '0's (water), return the number of islands. An island is surrounded by water and is formed by connecting adjacent lands horizontally or vertically.",Medium,Graphs,Goldman Sachs
561,Number of Islands,"Given an m x n 2D binary grid which represents a map of '1's (land) and '0's (water), return the number of islands. An island is surrounded by water and is formed by connecting adjacent lands horizontally or vertically.",Hard,Graphs,Wipro
562,Trapping Rain Water,"Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining.",Medium,Arrays,"Microsoft, Goldman Sachs"
563,N-Queens,"The n-queens puzzle is the problem of placing n queens on an n×n chessboard such that no two queens attack each other. Given an integer n, return all distinct solutions to the puzzle.",Hard,Backtracking,"Meta, Oracle"
564,Longest Substring Without Repeating Characters,"Given a string s, find the length of the longest substring without repeating characters. A substring is a contiguous sequence of characters within a string.",Easy,Strings,"Flipkart, Oracle"
565,LRU Cache,Design a data structure that follows the constraints of a Least Recently Used (LRU) cache. Implement the LRUCache class with get and put operations in O(1) average time complexity.,Medium,HashMap,Infosys
566,Binary Tree Level Order Traversal,"Given the root of a binary tree, return the level order traversal of its nodes' values (i.e., from left to right, level by level).",Hard,Trees,"Amazon, Meta"
567,Search in Rotated Sorted Array,"There is an integer array nums sorted in ascending order (with distinct values), but possibly rotated at an unknown pivot index. Given the array nums and an integer target, return the index of target if it is in nums, or -1 otherwise.",Medium,Binary Search,"Uber, Adobe"
568,Longest Substring Without Repeating Characters,"Given a string s, find the length of the longest substring without repeating characters. A substring is a contiguous sequence of characters within a string.",Hard,Strings,"Apple, Goldman Sachs"
569,Search in Rotated Sorted Array,"There is an integer array nums sorted in ascending order (with distinct values), but possibly rotated at an unknown pivot index. Given the array nums and an integer target, return the index of target if it is in nums, or -1 otherwise.",Medium,Binary Search,"PayPal, Flipkart, Apple"
570,Two Sum,"Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target. You may assume that each input would have exactly one solution, and you may not use the same element twice. Return the answer in any order.",Easy,Arrays,"Flipkart, Wipro, Microsoft"
571,Binary Tree Level Order Traversal,"Given the root of a binary tree, return the level order traversal of its nodes' values (i.e., from left to right, level by level).",Hard,Trees,Google
572,Binary Tree Level Order Traversal,"Given the root of a binary tree, return the level order traversal of its nodes' values (i.e., from left to right, level by level).",Medium,Trees,"Uber, PayPal, Oracle"
573,Longest Substring Without Repeating Characters,"Given a string s, find the length of the longest substring without repeating characters. A substring is a contiguous sequence of characters within a string.",Hard,Strings,Google
574,Longest Substring Without Repeating Characters,"Given a string s, find the length of the longest substring without repeating characters. A substring is a contiguous sequence of characters within a string.",Hard,Strings,Infosys
575,Two Sum,"Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target. You may assume that each input would have exactly one solution, and you may not use the same element twice. Return the answer in any order.",Medium,Arrays,Goldman Sachs
576,Coin Change,"You are given an integer array coins representing coins of different denominations and an integer amount. Return the fewest number of coins needed to make up that amount. If that amount cannot be made up, return -1.",Easy,Dynamic Programming,"Goldman Sachs, Oracle, PayPal"
577,Trapping Rain Water,"Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining.",Easy,Arrays,"Adobe, Infosys"
578,Valid Parentheses,"Given a string s containing just the characters '(', ')', '{', '}', '[' and ']', determine if the input string is valid. An input string is valid if open brackets are closed by the same type of brackets and in the correct order.",Easy,Stack & Queue,"Amazon, Infosys, PayPal"
579,Number of Islands,"Given an m x n 2D binary grid which represents a map of '1's (land) and '0's (water), return the number of islands. An island is surrounded by water and is formed by connecting adjacent lands horizontally or vertically.",Hard,Graphs,"PayPal, Amazon"
580,N-Queens,"The n-queens puzzle is the problem of placing n queens on an n×n chessboard such that no two queens attack each other. Given an integer n, return all distinct solutions to the puzzle.",Medium,Backtracking,Goldman Sachs
581,Binary Tree Level Order Traversal,"Given the root of a binary tree, return the level order traversal of its nodes' values (i.e., from left to right, level by level).",Easy,Trees,Microsoft
582,LRU Cache,Design a data structure that follows the constraints of a Least Recently Used (LRU) cache. Implement the LRUCache class with get and put operations in O(1) average time complexity.,Easy,HashMap,Uber
583,Trapping Rain Water,"Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining.",Medium,Arrays,"Amazon, Adobe, Uber"
584,Kth Largest Element in an Array,"Given an integer array nums and an integer k, return the kth largest element in the array. Note that it is the kth largest element in sorted order, not the kth distinct element.",Medium,Heap & Priority Queue,"Uber, TCS, Wipro"
585,Two Sum,"Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target. You may assume that each input would have exactly one solution, and you may not use the same element twice. Return the answer in any order.",Easy,Arrays,"Google, Amazon"
586,Kth Largest Element in an Array,"Given an integer array nums and an integer k, return the kth largest element in the array. Note that it is the kth largest element in sorted order, not the kth distinct element.",Hard,Heap & Priority Queue,"Apple, Uber, Infosys"
587,Binary Tree Level Order Traversal,"Given the root of a binary tree, return the level order traversal of its nodes' values (i.e., from left to right, level by level).",Hard,Trees,Uber
588,Binary Tree Level Order Traversal,"Given the root of a binary tree, return the level order traversal of its nodes' values (i.e., from left to right, level by level).",Hard,Trees,PayPal
589,Two Sum,"Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target. You may assume that each input would have exactly one solution, and you may not use the same element twice. Return the answer in any order.",Hard,Arrays,"Apple, Wipro"
590,Valid Parentheses,"Given a string s containing just the characters '(', ')', '{', '}', '[' and ']', determine if the input string is valid. An input string is valid if open brackets are closed by the same type of brackets and in the correct order.",Medium,Stack & Queue,"Apple, Flipkart, PayPal"
591,N-Queens,"The n-queens puzzle is the problem of placing n queens on an n×n chessboard such that no two queens attack each other. Given an integer n, return all distinct solutions to the puzzle.",Hard,Backtracking,"Wipro, Oracle"
592,LRU Cache,Design a data structure that follows the constraints of a Least Recently Used (LRU) cache. Implement the LRUCache class with get and put operations in O(1) average time complexity.,Medium,HashMap,"Adobe, Infosys, Flipkart"
593,Valid Parentheses,"Given a string s containing just the characters '(', ')', '{', '}', '[' and ']', determine if the input string is valid. An input string is valid if open brackets are closed by the same type of brackets and in the correct order.",Hard,Stack & Queue,"Flipkart, Adobe, Uber"
594,Valid Parentheses,"Given a string s containing just the characters '(', ')', '{', '}', '[' and ']', determine if the input string is valid. An input string is valid if open brackets are closed by the same type of brackets and in the correct order.",Easy,Stack & Queue,"Goldman Sachs, Uber, Adobe"
595,Search in Rotated Sorted Array,"There is an integer array nums sorted in ascending order (with distinct values), but possibly rotated at an unknown pivot index. Given the array nums and an integer target, return the index of target if it is in nums, or -1 otherwise.",Easy,Binary Search,"Infosys, Uber"
596,LRU Cache,Design a data structure that follows the constraints of a Least Recently Used (LRU) cache. Implement the LRUCache class with get and put operations in O(1) average time complexity.,Medium,HashMap,Google
597,N-Queens,"The n-queens puzzle is the problem of placing n queens on an n×n chessboard such that no two queens attack each other. Given an integer n, return all distinct solutions to the puzzle.",Easy,Backtracking,"Amazon, Meta"
598,Longest Substring Without Repeating Characters,"Given a string s, find the length of the longest substring without repeating characters. A substring is a contiguous sequence of characters within a string.",Medium,Strings,"Amazon, Meta, Apple"
599,LRU Cache,Design a data structure that follows the constraints of a Least Recently Used (LRU) cache. Implement the LRUCache class with get and put operations in O(1) average time complexity.,Easy,HashMap,Microsoft
600,Search in Rotated Sorted Array,"There is an integer array nums sorted in ascending order (with distinct values), but possibly rotated at an unknown pivot index. Given the array nums and an integer target, return the index of target if it is in nums, or -1 otherwise.",Easy,Binary Search,"Infosys, Flipkart, Apple"
601,Search in Rotated Sorted Array,"There is an integer array nums sorted in ascending order (with distinct values), but possibly rotated at an unknown pivot index. Given the array nums and an integer target, return the index of target if it is in nums, or -1 otherwise.",Easy,Binary Search,"Oracle, Meta, Flipkart"
602,Search in Rotated Sorted Array,"There is an integer array nums sorted in ascending order (with distinct values), but possibly rotated at an unknown pivot index. Given the array nums and an integer target, return the index of target if it is in nums, or -1 otherwise.",Easy,Binary Search,"Uber, Infosys, Google"
603,Longest Substring Without Repeating Characters,"Given a string s, find the length of the longest substring without repeating characters. A substring is a contiguous sequence of characters within a string.",Medium,Strings,Google
604,Trapping Rain Water,"Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining.",Hard,Arrays,"Flipkart, Goldman Sachs"
605,Search in Rotated Sorted Array,"There is an integer array nums sorted in ascending order (with distinct values), but possibly rotated at an unknown pivot index. Given the array nums and an integer target, return the index of target if it is in nums, or -1 otherwise.",Hard,Binary Search,"Uber, PayPal"
606,LRU Cache,Design a data structure that follows the constraints of a Least Recently Used (LRU) cache. Implement the LRUCache class with get and put operations in O(1) average time complexity.,Hard,HashMap,"Microsoft, Uber, Adobe"
607,Coin Change,"You are given an integer array coins representing coins of different denominations and an integer amount. Return the fewest number of coins needed to make up that amount. If that amount cannot be made up, return -1.",Hard,Dynamic Programming,"Microsoft, Uber, Apple"
608,Search in Rotated Sorted Array,"There is an integer array nums sorted in ascending order (with distinct values), but possibly rotated at an unknown pivot index. Given the array nums and an integer target, return the index of target if it is in nums, or -1 otherwise.",Hard,Binary Search,"Goldman Sachs, Flipkart"
609,Two Sum,"Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target. You may assume that each input would have exactly one solution, and you may not use the same element twice. Return the answer in any order.",Medium,Arrays,"Meta, PayPal"
610,Coin Change,"You are given an integer array coins representing coins of different denominations and an integer amount. Return the fewest number of coins needed to make up that amount. If that amount cannot be made up, return -1.",Hard,Dynamic Programming,Amazon
611,Search in Rotated Sorted Array,"There is an integer array nums sorted in ascending order (with distinct values), but possibly rotated at an unknown pivot index. Given the array nums and an integer target, return the index of target if it is in nums, or -1 otherwise.",Medium,Binary Search,"Oracle, Google"
612,Trapping Rain Water,"Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining.",Medium,Arrays,Goldman Sachs
613,Valid Parentheses,"Given a string s containing just the characters '(', ')', '{', '}', '[' and ']', determine if the input string is valid. An input string is valid if open brackets are closed by the same type of brackets and in the correct order.",Medium,Stack & Queue,"Google, PayPal"
614,Search in Rotated Sorted Array,"There is an integer array nums sorted in ascending order (with distinct values), but possibly rotated at an unknown pivot index. Given the array nums and an integer target, return the index of target if it is in nums, or -1 otherwise.",Hard,Binary Search,Amazon
615,Coin Change,"You are given an integer array coins representing coins of different denominations and an integer amount. Return the fewest number of coins needed to make up that amount. If that amount cannot be made up, return -1.",Easy,Dynamic Programming,"Wipro, PayPal, Microsoft"
616,Longest Substring Without Repeating Characters,"Given a string s, find the length of the longest substring without repeating characters. A substring is a contiguous sequence of characters within a string.",Medium,Strings,"Microsoft, Meta, Uber"
617,Coin Change,"You are given an integer array coins representing coins of different denominations and an integer amount. Return the fewest number of coins needed to make up that amount. If that amount cannot be made up, return -1.",Hard,Dynamic Programming,"Oracle, Uber"
618,Number of Islands,"Given an m x n 2D binary grid which represents a map of '1's (land) and '0's (water), return the number of islands. An island is surrounded by water and is formed by connecting adjacent lands horizontally or vertically.",Medium,Graphs,Amazon
619,Longest Substring Without Repeating Characters,"Given a string s, find the length of the longest substring without repeating characters. A substring is a contiguous sequence of characters within a string.",Easy,Strings,PayPal
620,N-Queens,"The n-queens puzzle is the problem of placing n queens on an n×n chessboard such that no two queens attack each other. Given an integer n, return all distinct solutions to the puzzle.",Easy,Backtracking,"Wipro, Uber"
621,Longest Substring Without Repeating Characters,"Given a string s, find the length of the longest substring without repeating characters. A substring is a contiguous sequence of characters within a string.",Medium,Strings,"Flipkart, Uber, Goldman Sachs"
622,Coin Change,"You are given an integer array coins representing coins of different denominations and an integer amount. Return the fewest number of coins needed to make up that amount. If that amount cannot be made up, return -1.",Easy,Dynamic Programming,"Goldman Sachs, Google, TCS"
623,Binary Tree Level Order Traversal,"Given the root of a binary tree, return the level order traversal of its nodes' values (i.e., from left to right, level by level).",Easy,Trees,TCS
624,Trapping Rain Water,"Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining.",Medium,Arrays,"PayPal, Google, Flipkart"
625,Number of Islands,"Given an m x n 2D binary grid which represents a map of '1's (land) and '0's (water), return the number of islands. An island is surrounded by water and is formed by connecting adjacent lands horizontally or vertically.",Hard,Graphs,Apple
626,Valid Parentheses,"Given a string s containing just the characters '(', ')', '{', '}', '[' and ']', determine if the input string is valid. An input string is valid if open brackets are closed by the same type of brackets and in the correct order.",Hard,Stack & Queue,"Flipkart, Uber"
627,Number of Islands,"Given an m x n 2D binary grid which represents a map of '1's (land) and '0's (water), return the number of islands. An island is surrounded by water and is formed by connecting adjacent lands horizontally or vertically.",Medium,Graphs,Amazon
628,Two Sum,"Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target. You may assume that each input would have exactly one solution, and you may not use the same element twice. Return the answer in any order.",Medium,Arrays,Microsoft
629,Two Sum,"Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target. You may assume that each input would have exactly one solution, and you may not use the same element twice. Return the answer in any order.",Hard,Arrays,Meta
630,Longest Substring Without Repeating Characters,"Given a string s, find the length of the longest substring without repeating characters. A substring is a contiguous sequence of characters within a string.",Medium,Strings,"Goldman Sachs, Google, Amazon"
631,Kth Largest Element in an Array,"Given an integer array nums and an integer k, return the kth largest element in the array. Note that it is the kth largest element in sorted order, not the kth distinct element.",Easy,Heap & Priority Queue,PayPal
632,Kth Largest Element in an Array,"Given an integer array nums and an integer k, return the kth largest element in the array. Note that it is the kth largest element in sorted order, not the kth distinct element.",Medium,Heap & Priority Queue,"Wipro, Google"
633,Kth Largest Element in an Array,"Given an integer array nums and an integer k, return the kth largest element in the array. Note that it is the kth largest element in sorted order, not the kth distinct element.",Easy,Heap & Priority Queue,Microsoft
634,Search in Rotated Sorted Array,"There is an integer array nums sorted in ascending order (with distinct values), but possibly rotated at an unknown pivot index. Given the array nums and an integer target, return the index of target if it is in nums, or -1 otherwise.",Hard,Binary Search,"Apple, Meta, Amazon"
635,Coin Change,"You are given an integer array coins representing coins of different denominations and an integer amount. Return the fewest number of coins needed to make up that amount. If that amount cannot be made up, return -1.",Easy,Dynamic Programming,"TCS, Meta, Apple"
636,Kth Largest Element in an Array,"Given an integer array nums and an integer k, return the kth largest element in the array. Note that it is the kth largest element in sorted order, not the kth distinct element.",Medium,Heap & Priority Queue,"Amazon, Oracle"
637,Binary Tree Level Order Traversal,"Given the root of a binary tree, return the level order traversal of its nodes' values (i.e., from left to right, level by level).",Hard,Trees,Amazon
638,Coin Change,"You are given an integer array coins representing coins of different denominations and an integer amount. Return the fewest number of coins needed to make up that amount. If that amount cannot be made up, return -1.",Hard,Dynamic Programming,Adobe
639,Trapping Rain Water,"Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining.",Easy,Arrays,"PayPal, Flipkart"
640,Longest Substring Without Repeating Characters,"Given a string s, find the length of the longest substring without repeating characters. A substring is a contiguous sequence of characters within a string.",Hard,Strings,"Adobe, Apple"
641,Binary Tree Level Order Traversal,"Given the root of a binary tree, return the level order traversal of its nodes' values (i.e., from left to right, level by level).",Easy,Trees,Google
642,Coin Change,"You are given an integer array coins representing coins of different denominations and an integer amount. Return the fewest number of coins needed to make up that amount. If that amount cannot be made up, return -1.",Medium,Dynamic Programming,"Goldman Sachs, Apple, Oracle"
643,Binary Tree Level Order Traversal,"Given the root of a binary tree, return the level order traversal of its nodes' values (i.e., from left to right, level by level).",Hard,Trees,"TCS, Apple"
644,Trapping Rain Water,"Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining.",Easy,Arrays,"Goldman Sachs, Uber, TCS"
645,Longest Substring Without Repeating Characters,"Given a string s, find the length of the longest substring without repeating characters. A substring is a contiguous sequence of characters within a string.",Hard,Strings,"Oracle, Microsoft, Apple"
646,Valid Parentheses,"Given a string s containing just the characters '(', ')', '{', '}', '[' and ']', determine if the input string is valid. An input string is valid if open brackets are closed by the same type of brackets and in the correct order.",Medium,Stack & Queue,TCS
647,Binary Tree Level Order Traversal,"Given the root of a binary tree, return the level order traversal of its nodes' values (i.e., from left to right, level by level).",Medium,Trees,"Flipkart, Adobe, Amazon"
648,Reverse Linked List,"Given the head of a singly linked list, reverse the list and return the reversed list. You must reverse the nodes themselves and not just the values.",Hard,Linked List,"Apple, Wipro, Oracle"
649,Binary Tree Level Order Traversal,"Given the root of a binary tree, return the level order traversal of its nodes' values (i.e., from left to right, level by level).",Easy,Trees,Adobe
650,Trapping Rain Water,"Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining.",Hard,Arrays,Adobe
651,Valid Parentheses,"Given a string s containing just the characters '(', ')', '{', '}', '[' and ']', determine if the input string is valid. An input string is valid if open brackets are closed by the same type of brackets and in the correct order.",Medium,Stack & Queue,Apple
652,Search in Rotated Sorted Array,"There is an integer array nums sorted in ascending order (with distinct values), but possibly rotated at an unknown pivot index. Given the array nums and an integer target, return the index of target if it is in nums, or -1 otherwise.",Medium,Binary Search,Microsoft
653,N-Queens,"The n-queens puzzle is the problem of placing n queens on an n×n chessboard such that no two queens attack each other. Given an integer n, return all distinct solutions to the puzzle.",Medium,Backtracking,"Meta, Goldman Sachs, Oracle"
654,Two Sum,"Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target. You may assume that each input would have exactly one solution, and you may not use the same element twice. Return the answer in any order.",Medium,Arrays,"Google, Oracle"
655,Kth Largest Element in an Array,"Given an integer array nums and an integer k, return the kth largest element in the array. Note that it is the kth largest element in sorted order, not the kth distinct element.",Easy,Heap & Priority Queue,"Google, Uber"
656,Longest Substring Without Repeating Characters,"Given a string s, find the length of the longest substring without repeating characters. A substring is a contiguous sequence of characters within a string.",Medium,Strings,"Infosys, Meta"
657,Reverse Linked List,"Given the head of a singly linked list, reverse the list and return the reversed list. You must reverse the nodes themselves and not just the values.",Medium,Linked List,"Oracle, Adobe, PayPal"
658,Number of Islands,"Given an m x n 2D binary grid which represents a map of '1's (land) and '0's (water), return the number of islands. An island is surrounded by water and is formed by connecting adjacent lands horizontally or vertically.",Hard,Graphs,Wipro
659,Coin Change,"You are given an integer array coins representing coins of different denominations and an integer amount. Return the fewest number of coins needed to make up that amount. If that amount cannot be made up, return -1.",Medium,Dynamic Programming,"Amazon, Wipro"
660,Kth Largest Element in an Array,"Given an integer array nums and an integer k, return the kth largest element in the array. Note that it is the kth largest element in sorted order, not the kth distinct element.",Hard,Heap & Priority Queue,"Amazon, Uber, Goldman Sachs"
661,Binary Tree Level Order Traversal,"Given the root of a binary tree, return the level order traversal of its nodes' values (i.e., from left to right, level by level).",Hard,Trees,Apple
662,Coin Change,"You are given an integer array coins representing coins of different denominations and an integer amount. Return the fewest number of coins needed to make up that amount. If that amount cannot be made up, return -1.",Hard,Dynamic Programming,"Apple, Oracle"
663,Reverse Linked List,"Given the head of a singly linked list, reverse the list and return the reversed list. You must reverse the nodes themselves and not just the values.",Hard,Linked List,"Oracle, Flipkart"
664,Valid Parentheses,"Given a string s containing just the characters '(', ')', '{', '}', '[' and ']', determine if the input string is valid. An input string is valid if open brackets are closed by the same type of brackets and in the correct order.",Hard,Stack & Queue,"Wipro, Infosys, PayPal"
665,LRU Cache,Design a data structure that follows the constraints of a Least Recently Used (LRU) cache. Implement the LRUCache class with get and put operations in O(1) average time complexity.,Easy,HashMap,Uber
666,Two Sum,"Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target. You may assume that each input would have exactly one solution, and you may not use the same element twice. Return the answer in any order.",Medium,Arrays,Adobe
667,N-Queens,"The n-queens puzzle is the problem of placing n queens on an n×n chessboard such that no two queens attack each other. Given an integer n, return all distinct solutions to the puzzle.",Hard,Backtracking,Infosys
668,LRU Cache,Design a data structure that follows the constraints of a Least Recently Used (LRU) cache. Implement the LRUCache class with get and put operations in O(1) average time complexity.,Hard,HashMap,Flipkart
669,Binary Tree Level Order Traversal,"Given the root of a binary tree, return the level order traversal of its nodes' values (i.e., from left to right, level by level).",Hard,Trees,PayPal
670,N-Queens,"The n-queens puzzle is the problem of placing n queens on an n×n chessboard such that no two queens attack each other. Given an integer n, return all distinct solutions to the puzzle.",Medium,Backtracking,Flipkart
671,Longest Substring Without Repeating Characters,"Given a string s, find the length of the longest substring without repeating characters. A substring is a contiguous sequence of characters within a string.",Hard,Strings,"Uber, TCS"
